year,sd,observations,sunspots
1818,9.2,213,52.9
1819,7.9,249,38.5
1820,6.4,224,24.2
1821,4.2,304,9.2
1822,3.7,353,6.3
1823,2.7,302,2.2
1824,4.6,194,11.4
1825,6.8,310,28.2
1826,9.8,320,59.9
1827,11.6,321,83
1828,13.2,301,108.5
1829,13.6,291,115.2
1830,13.7,268,117.4
1831,11.4,285,80.8
1832,8.5,277,44.3
1833,4.9,292,13.4
1834,5.8,260,19.5
1835,11.8,173,85.8
1836,17.6,166,192.7
1837,19.1,150,227.3
1838,16.5,201,168.7
1839,15.1,194,143
1840,13,248,105.5
1841,10.1,277,63.3
1842,8.1,311,40.3
1843,5.6,320,18.1
1844,6.5,294,25.1
1845,10.3,265,65.8
1846,12.8,247,102.7
1847,16.3,232,166.3
1848,18.3,234,208.3
1849,16.6,365,182.5
1850,13.7,365,126.3
1851,13.4,365,122
1852,12.3,366,102.7
1853,10.4,365,74.1
1854,7.5,365,39
1855,4.3,365,12.7
1856,3.4,366,8.2
1857,8,365,43.4
1858,12.4,365,104.4
1859,16.3,365,178.3
1860,16.5,366,182.2
1861,14.8,365,146.6
1862,12.9,365,112.1
1863,11.1,365,83.5
1864,11.5,366,89.2
1865,9.2,365,57.8
1866,6.7,365,30.7
1867,4.5,365,13.9
1868,8.9,366,62.8
1869,12.5,365,123.6
1870,17.1,365,232
1871,15.3,365,185.3
1872,14.6,366,169.2
1873,11.8,365,110.1
1874,9.7,365,74.5
1875,6.1,365,28.3
1876,5.1,366,18.9
1877,5.3,365,20.7
1878,3.2,365,5.7
1879,3.9,365,10
1880,8.3,366,53.7
1881,10.7,365,90.5
1882,11.2,365,99
1883,11.6,365,106.1
1884,11.6,366,105.8
1885,10.5,365,86.3
1886,7.4,365,42.4
1887,5.4,365,21.8
1888,4,366,11.2
1889,3.9,365,10.4
1890,4.1,365,11.8
1891,8.7,365,59.5
1892,12.4,366,121.7
1893,10.6,365,142
1894,10.2,365,130
1895,9.2,365,106.6
1896,7.4,366,69.4
1897,5.9,365,43.8
1898,6,365,44.4
1899,4.1,365,20.2
1900,3.8,365,15.7
1901,2.6,365,4.6
1902,3.1,365,8.5
1903,5.7,365,40.8
1904,7.5,366,70.1
1905,9.2,365,105.5
1906,8.5,365,90.1
1907,9,365,102.8
1908,8,366,80.9
1909,7.6,365,73.2
1910,5,365,30.9
1911,3.1,365,9.5
1912,2.7,366,6
1913,2.3,365,2.4
1914,3.8,365,16.1
1915,7.9,365,79
1916,8.7,366,95
1917,11.8,365,173.6
1918,10.3,365,134.6
1919,9.2,365,105.7
1920,7.1,366,62.7
1921,5.9,365,43.5
1922,4.5,365,23.7
1923,3.1,365,9.7
1924,4.8,366,27.9
1925,7.7,365,74
1926,9.2,365,106.5
1927,9.5,365,114.7
1928,10.2,366,129.7
1929,9.3,365,108.2
1930,6.9,365,59.4
1931,5.3,365,35.1
1932,4,366,18.6
1933,3.2,365,9.2
1934,3.6,365,14.6
1935,6.9,365,60.2
1936,10.3,366,132.8
1937,12.3,365,190.6
1938,12.1,365,182.6
1939,10.8,365,148
1940,9.5,366,113
1941,7.9,365,79.2
1942,6.4,365,50.8
1943,4.7,365,27.1
1944,3.8,366,16.1
1945,6.6,365,55.3
1946,11.1,365,154.3
1947,9.8,365,214.7
1948,9.3,366,193
1949,9.2,365,190.7
1950,7.3,365,118.9
1951,6.6,365,98.3
1952,4.5,366,45
1953,3,365,20.1
1954,1.7,365,6.6
1955,4.9,365,54.2
1956,9.5,366,200.7
1957,11,365,269.3
1958,10.8,365,261.7
1959,10,365,225.1
1960,8.4,366,159
1961,5.8,365,76.4
1962,4.9,365,53.4
1963,4.2,365,39.9
1964,2.6,366,15
1965,3.2,365,22
1966,5.4,365,66.8
1967,7.7,365,132.9
1968,8.2,366,150
1969,8.2,365,149.4
1970,8.1,365,148
1971,6.5,365,94.4
1972,6.6,366,97.6
1973,4.9,365,54.1
1974,4.7,365,49.2
1975,3.2,365,22.5
1976,2.9,366,18.4
1977,4.2,365,39.3
1978,7.6,365,131
1979,9.9,365,220.1
1980,9.9,366,218.9
1981,13.1,3049,198.9
1982,12.1,3436,162.4
1983,7.6,4216,91
1984,5.9,5103,60.5
1985,3.7,5543,20.6
1986,3.5,5934,14.8
1987,3.7,6396,33.9
1988,8.4,6556,123
1989,12.8,6932,211.1
1990,11.2,7108,191.8
1991,12.7,6932,203.3
1992,8.9,7845,133
1993,5.8,8010,76.1
1994,4.4,8524,44.9
1995,3.7,8429,25.1
1996,3.1,7614,11.6
1997,3.6,7294,28.9
